,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2004,13750589299.042122,13750589299.042122
2005,13834475276.671171,13834475276.671171
2006,13629942956.531544,13629942956.531544
2007,13276185395.693436,13276185395.693436
2008,13215830696.082436,13215830696.082436
2009,13068056505.899952,13068056505.899952
2010,13047084714.63697,13047084714.63697
2011,13068512346.97335,13068512346.97335
2012,13115545687.820807,13115545687.820807
2013,13046224446.984121,13046224446.984121
2014,12949955983.558716,12949955983.558716
2015,12781958346.188446,12781958346.188446
2016,12575208789.425457,12575208789.425457
2017,12121768768.271,12121768768.271
2018,11918932101.025135,11918932101.025135
2019,11792422981.741915,11792422981.741915
2020,11690010059.846891,11690010059.846891
2021,11619476421.06268,11619476421.06268
2022,11389851584.734926,11389851584.734926
2023,11119222213.470226,11119222213.470226
2024,10672663191.388485,10672663191.388485
2025,10389587517.739054,10389587517.739054
2026,10276643491.831038,10276643491.831038
2027,9917079643.31292,9917079643.31292
2028,9738276733.4204,9738276733.4204
2029,9328063697.857641,9328063697.857641
2030,9072577622.789036,9072577622.789036
2031,8536702824.298801,8536702824.298801
2032,8227756195.656202,8227756195.656202
2033,8005593986.244904,8005593986.244904
2034,7775856089.028675,7775856089.028675
2035,7652925007.681196,7652925007.681196
2036,7402156599.907314,7402156599.907314
2037,7201517227.1097145,7201517227.1097145
2038,6966911544.02833,6966911544.02833
2039,6617748834.166021,6617748834.166021
2040,6352484179.432926,6352484179.432926
2041,6209632481.687584,6209632481.687584
2042,6097270006.283585,6097270006.283585
2043,6077939456.696711,6077939456.696711
2044,5905890087.383265,5905890087.383265
2045,5606598014.245564,5606598014.245564
2046,5450697200.196703,5450697200.196703
2047,5339528968.220713,5339528968.220713
2048,5313947185.556313,5313947185.556313
2049,5119052556.94455,5119052556.94455
2050,5120738083.416002,5120738083.416002
2051,4844685837.082758,4844685837.082758
2052,4701476605.456253,4701476605.456253
2053,4627888744.227308,4627888744.227308
2054,4421128142.495994,4421128142.495994
2055,4328827382.250557,4328827382.250557
2056,4087769901.822731,4087769901.822731
2057,3984046182.7539177,3984046182.7539177
2058,3984903004.975102,3984903004.975102
2059,4091281393.793009,4091281393.793009
2060,3991903133.91521,3991903133.91521
2061,3963396297.1745214,3963396297.1745214
2062,3946771225.5182676,3946771225.5182676
2063,3964666608.917947,3964666608.917947
2064,3986932651.9468164,3986932651.9468164
2065,3802534505.492338,3802534505.492338
2066,3728109061.8948064,3728109061.8948064
2067,3576055279.0554924,3576055279.0554924
2068,3521913402.322981,3521913402.322981
2069,3471587674.9350166,3471587674.9350166
2070,3480701827.5619607,3480701827.5619607
2071,3424437996.937932,3424437996.937932
2072,3536019653.765512,3536019653.765512
2073,3681343864.8388,3681343864.8388
2074,3771083586.131547,3771083586.131547
2075,3851747153.767415,3851747153.767415
2076,3783354669.0068874,3783354669.0068874
2077,3885413373.689807,3885413373.689807
2078,3967296215.2135515,3967296215.2135515
2079,3851211565.0325985,3851211565.0325985
2080,3851058313.809349,3851058313.809349
2081,3891911072.185206,3891911072.185206
2082,3971222886.099779,3971222886.099779
2083,4035935029.645374,4035935029.645374
2084,4125367218.9616785,4125367218.9616785
2085,4079500634.313651,4079500634.313651
2086,4091013244.3798323,4091013244.3798323
2087,4211359589.2192583,4211359589.2192583
2088,4322032542.831789,4322032542.831789
2089,4372611269.5438595,4372611269.5438595
2090,4439749343.747774,4439749343.747774
2091,4545657701.785364,4545657701.785364
2092,4533136066.547032,4533136066.547032
2093,4686973338.37048,4686973338.37048
2094,4760641374.728669,4760641374.728669
2095,4793644863.160013,4793644863.160013
2096,4999912516.8163805,4999912516.8163805
2097,5009043794.662587,5009043794.662587
2098,4939205419.260634,4939205419.260634
2099,4876572055.457794,4876572055.457794
2100,4763321555.807605,4763321555.807605
